Blairsville,11189,40.43117900,-79.26086900
Blakeslee,3437,41.09258600,-75.59268800
Blanchard,854,41.06423100,-77.59777000
Blandburg,315,40.68700700,-78.41085100
Blandon,5286,40.44215400,-75.88597100
Blooming Glen,0,40.36954800,-75.24823000
Bloomsburg,28313,41.00369800,-76.45494500
Blossburg,1672,41.67951800,-77.06385600
Blue Ball,0,40.11870800,-76.04716900
Blue Bell,18246,40.15233000,-75.26628900
Blue Ridge Summit,1068,39.72416700,-77.47166700
Boalsburg,4055,40.77561800,-77.79249900
Bobtown,788,39.76118900,-79.98144800
Boiling Springs,5222,40.14981200,-77.12831300
Bolivar,1927,40.39701400,-79.15169800
Boswell,4186,40.16146500,-79.02891600
Bovard,0,41.07367300,-79.97172200
Bowers,265,40.48731600,-75.74213700
Bowmansdale,0,40.16620200,-76.97803100
Bowmanstown,895,40.79981500,-75.66185400
Bowmansville,0,40.19676000,-76.01744100
Boyers,1000,41.10833300,-79.89916700
Boyertown,17396,40.33370700,-75.63740800
Boynton,56,39.76674800,-79.06669300
Brackenridge,3543,40.60812200,-79.74115900
Brackney,1816,41.98690400,-75.92755100
Braddock,11434,40.40340200,-79.86838200
Bradenville,617,40.32145800,-79.34003500
Bradford,18482,41.95589600,-78.64391600
Bradfordwoods,1174,40.63756700,-80.08172400
Branchdale,502,40.67055500,-76.32111100
Branchton,0,41.07256200,-79.98561100
Brandamore,320,40.05371400,-75.81994100
Brandy Camp,0,41.32089400,-78.68752600
Brave,414,39.72472200,-80.26027800
Breezewood,1333,39.99925000,-78.23862200
Breinigsville,3592,40.53699100,-75.63611600
Bridgeport,4992,40.10510800,-75.34518300
Bridgeville,14530,40.35618000,-80.11005500
Brier Hill,0,39.98035300,-79.82810000
Brisbin,413,40.83811400,-78.35446200
Bristol,22075,40.10066600,-74.85183100
Broad Top,690,40.20230200,-78.14084000
Brockport,1563,41.25978300,-78.72669300
Brockton,365,40.74927100,-76.06812300
Brockway,5378,41.24922700,-78.79947300
Brodheadsville,2505,40.92453700,-75.39379400
Brogue,2080,39.87176700,-76.48302000
Brookhaven,16499,39.86927800,-75.38241400
Brooklyn,141,41.75111100,-75.80722200
Brookville,9841,41.16117400,-79.08309200
Broomall,20386,39.96995000,-75.35302300
Brownfield,0,39.85702000,-79.71198900
Brownstown,192,40.33451800,-78.93808100
Brownsville,9406,40.02368500,-79.88393500
Bruin,534,41.05478400,-79.72671600
Brush Valley,0,40.53617900,-79.06642000
Bryn Athyn,54,40.13149800,-75.06739300
Bryn Mawr,21485,40.02183300,-75.31585400
Buck Hill Falls,40,41.18786800,-75.26573700
Buckingham,0,40.32361100,-75.06027800
Buena Vista,708,40.01979700,-79.71087300
Buffalo Mills,997,39.93341500,-78.64585200
Bulger,1966,40.37840200,-80.32784000
Bunola,382,40.23729200,-79.95060500
Burgettstown,7824,40.38201300,-80.39284200
Burlington,182,41.77979700,-76.60744800
Burnham,1995,40.63868200,-77.56860500
Burnside,283,40.81284200,-78.78558500
Burnt Cabins,297,40.07891500,-77.89659900
Bushkill,7252,41.09342900,-75.00184000
Butler,58042,40.86117500,-79.89533200
Byrnedale,627,41.28924600,-78.50527200
Cabot,4392,40.76472200,-79.76666700
Cadogan,390,40.75395300,-79.58115700
Cairnbrook,1212,40.11896700,-78.81807700
California,4331,40.06562900,-79.89171300
Callensburg,220,41.12589500,-79.55838000
Callery,444,40.74062100,-80.03644800
Calumet,0,40.21090400,-79.48531500
Calvin,209,40.33674300,-78.02722500
Cambra,98,41.19813900,-76.30577000
Cambridge Springs,6460,41.80366700,-80.05644400
Cammal,0,41.40340200,-77.46303500
Camp Hill,34142,40.23981100,-76.91997400
Campbelltown,264,40.27759100,-76.58524600
Camptown,0,41.73118600,-76.23465500
Canadensis,2164,41.19203500,-75.25129200
Canonsburg,31992,40.26257000,-80.18727900
Canton,5049,41.65646400,-76.85329200
Carbondale,14672,41.57369300,-75.50185000
Cardale,128,39.95674200,-79.86615800
Carlisle,52064,40.20250000,-77.19500000
Carlton,529,41.47479600,-80.02201900
Carmichaels,5115,39.89674200,-79.97449900
Carnegie,19074,40.40868000,-80.08338800
Carrolltown,3098,40.60284600,-78.70863400
Carversville,0,40.38654300,-75.06282100
Cashtown,0,39.87583300,-77.33805500
Cassandra,136,40.40868400,-78.64057300
Cassville,425,40.29313300,-78.02694700
Castanea,0,41.12479100,-77.42970300
Catasauqua,9322,40.65481900,-75.47462700
Catawissa,5461,40.95203100,-76.45967000
Cecil,1843,40.32944400,-80.17111100
Cedar Run,0,41.52256900,-77.44581300
Cedars,0,40.21260500,-75.36851100
Center Valley,6282,40.52926600,-75.39323600
Centerport,327,40.48620400,-76.00743600
Centerville,3384,40.04535100,-79.97560600
Central City,2812,40.11063400,-78.80196500
Centre Hall,3818,40.84756300,-77.68610900
Chadds Ford,8954,39.87177700,-75.59131700
Chalfont,17764,40.28843900,-75.20906200
Chalk Hill,0,39.84508100,-79.61640200
Chambersburg,47886,39.93759100,-77.66110200
Chambersville,55,40.70534200,-79.15781300
Champion,1303,40.07507300,-79.35808900
Chandlers Valley,0,41.93422400,-79.30366000
Charleroi,11658,40.13784900,-79.89810300
Chatham,0,39.85344100,-75.82160800
Cheltenham,6631,40.06083300,-75.09444400
Cherry Tree,2843,40.72645400,-78.80669600
Cherryville,66,40.75505500,-75.53907000
Chest Springs,110,40.58006800,-78.60696400
Chester,38762,39.84955700,-75.35574500
Chester Heights,0,39.89011100,-75.47547600
Chester Springs,7520,40.09500000,-75.61722200
Chestnut Ridge,345,39.98035300,-79.80643200
Cheswick,8484,40.54173400,-79.79921500
Cheyney,774,39.92844300,-75.52270300
Chicora,5614,40.94811900,-79.74282700
Chinchilla,0,41.47507800,-75.67713400
Christiana,4661,39.95482600,-75.99689400
Clairton,17341,40.29229200,-79.88171500
Clarence,698,41.04811400,-77.94028100
Clarendon,2033,41.78006000,-79.09309700
Claridge,864,40.36562400,-79.62226400
Clarington,281,41.33119200,-79.12346700
Clarion,10449,41.18266200,-79.39601900
Clark,500,41.28616600,-80.42756800
Clarks Mills,614,41.39255100,-80.18708800
Clarks Summit,21978,41.48868900,-75.70852400
Clarksburg,1798,40.53231000,-79.38213300
Clarksville,2207,39.97285100,-80.04394300
Claysburg,3795,40.29674200,-78.44973700
Claysville,4892,40.11785000,-80.41034300
Clearfield,14315,41.02727900,-78.43918700
