"Codorus",631
"Cogan Station",5436
"Cokeburg",705
"Collegeville",30866
"Colmar",873
"Columbia",17333
"Columbia Cross Roads",2513
"Columbus",721
"Colver",1199
"Commodore",1662
"Concord",0
"Concordville",0
"Conestoga",4438
"Confluence",2427
"Conneaut Lake",5625
"Conneautville",3684
"Connellsville",22735
"Connoquenessing",564
"Conshohocken",16530
"Conway",2297
"Conyngham",1589
"Cooksburg",167
"Coolspring",143
"Coopersburg",12091
"Cooperstown",1516
"Coplay",7162
"Coral",278
"Coraopolis",37804
"Cornwall",582
"Corry",11675
"Corsica",1191
"Coudersport",5987
"Coulters",154
"Coupon",0
"Covington",1350
"Cowanesque",0
"Cowansville",1133
"Crabtree",452
"Craley",0
"Cranberry",1051
"Cranberry Twp",23625
"Cranesville",1758
"Creamery",0
"Creekside",1694
"Creighton",1053
"Crescent",2242
"Cresco",4135
"Cresson",4983
"Cressona",1571
"Crosby",213
"Cross Fork",129
"Crown",0
"Croydon",10129
"Crucible",642
"Crum Lynne",3906
"Crystal Spring",431
"Cuddy",576
"Cumbola",382
"Curllsville",0
"Curryville",167
"Curtisville",0
"Curwensville",5348
"Custer City",288
"Cyclone",484
"Dagus Mines",0
"Daisytown",1162
"Dallas",16577
"Dallastown",9622
"Dalmatia",1603
"Dalton",5418
"Damascus",1224
"Danboro",0
"Danielsville",3085
"Danville",18622
"Darby",21404
"Darlington",3459
"Darragh",41
"Dauphin",4020
"Davidsville",1786
"Dawson",1936
"Dayton",2302
"De Lancey",146
"De Young",0
"Defiance",112
"Delano",380
"Delaware Water Gap",744
"Delmont",4851
"Delta",5654
"Denbo",137
"Denver",14154
"Derrick City",267
"Derry",7203
"Devault",0
"Devon",7408
"Dewart",278
"Dickerson Run",372
"Dickson City",5322
"Dilliner",1475
"Dillsburg",15306
"Dilltown",71
"Dimock",161
"Dingmans Ferry",6736
"Distant",95
"Dixonville",325
"Donegal",760
"Donora",5768
"Dornsife",1163
"Douglassville",10721
"Dover",22770
"Downingtown",41450
"Doylesburg",331
"Doylestown",47310
"Dravosburg",2015
"Dresher",5610
"Drexel Hill",32013
"Drifting",306
"Drifton",309
"Driftwood",447
"Drumore",1153
"Drums",7131
"Dry Run",767
"Du Bois",20609
"Dublin",2083
"Dudley",192
"Duke Center",984
"Dunbar",5386
"Duncannon",8703
"Duncansville",12876
"Dunlevy",397
"Dunlo",168
"Duquesne",7332
"Durham",0
"Duryea",4151
"Dushore",2498
"Dysart",851
"Eagles Mere",315
"Eagleville",0
"Earlington",0
"Earlville",91
"East Berlin",7050
"East Brady",2086
"East Butler",679
"East Earl",5320
"East Freedom",2114
"East Greenville",5548
"East Hickory",143
"East Mc Keesport",2354
"East Millsboro",1074
"East Petersburg",4740
"East Pittsburgh",3616
"East Prospect",678
"East Smethport",255
"East Smithfield",322
"East Springfield",1477
"East Stroudsburg",35796
"East Texas",0
"East Vandergrift",742
"East Waterford",1042
"Easton",69774
"Eau Claire",355
"Ebensburg",9667
"Ebervale",0
"Edgemont",0
"Edinboro",12830
"Edinburg",3772
"Effort",7619
"Eighty Four",5012
"Elco",362
"Elderton",358
"Eldred",2956
"Elgin",0
"Elizabeth",11676
"Elizabethtown",26955
"Elizabethville",3135
"Elkins Park",19110
"Elkland",1786
"Elliottsburg",1788
"Ellsworth",1083
"Ellwood City",17821
"Elm",0
"Elmhurst",0
"Elmora",0
"Elrama",291
"Elton",243
"Elverson",5835
"Elysburg",3973
"Emeigh",0
"Emigsville",240
"Emlenton",3592
"Emmaus",17153
"Emporium",5323
"Endeavor",80
"Enola",14026
"Enon Valley",2502
"Entriken",90
"Ephrata",29448
"Equinunk",1229
"Erie",186871
"Ernest",501
"Erwinna",577
"Essington",4217
"Etters",9877
"Evans City",5771
"Everett",8350
"Everson",983
"Export",8505
"Exton",14341
"Factoryville",4520
"Fairbank",0
"Fairchance",3276
"Fairfield",6938
"Fairhope",796
"Fairless Hills",13500
"Fairmount City",1191
"Fairview",7950
"Fairview Village",0
"Fallentimber",1666
"Falls",1759
"Falls Creek",1982
"Fannettsburg",506
"Farmington",3085
"Farrell",6170
"Fawn Grove",2094
"Fayette City",2430
"Fayetteville",8876
"Feasterville Trevose",24657
"Felton",5599
"Fenelton",2044
"Ferndale",0
"Finleyville",7549
"Fisher",0
"Fishertown",519
"Fleetville",276
"Fleetwood",14085
"Fleming",0
"Flicksville",0
"Flinton",841
"Flourtown",4724
"Fogelsville",3205
"Folcroft",6898
"Folsom",8337
"Fombell",2255
"Forbes Road",386
"Force",199
"Ford City",8697
"Ford Cliff",412
"Forest City",4908
"Forest Grove",0
"Forestville",101
"Forksville",756
"Fort Hill",353
"Fort Littleton",367
"Fort Loudon",1647
"Fort Washington",6019
"Fountainville",278
"Foxburg",369
"Frackville",8631
"Franconia",0
"Franklin",17240
"Franklintown",0
"Frederick",73
"Fredericksburg",2935
"Fredericktown",2390
"Fredonia",2197
"Freeburg",708
"Freedom",7752
"Freeland",5970
"Freeport",5194
"Frenchville",1437
"Friedens",4038
"Friedensburg",61
"Friendsville",1199
"Frostburg",0
"Fryburg",538
"Furlong",2891
"Gaines",583
"Galeton",2132
"Gallitzin",2777
"Gans",0
"Gap",5753
"Garards Fort",183
"Gardenville",0
"Gardners",4219
"Garland",327
"Garrett",1385
"Gastonville",0
"Geigertown",117
"Genesee",1469
"Georgetown",2596
"Germansville",2304
"Gettysburg",25620
"Gibbon Glade",333
"Gibson",94
"Gibsonia",23196
"Gifford",426
"Gilbert",459
"Gilberton",487
"Gilbertsville",10335
"Gillett",3471
"Gipsy",235
"Girard",8529
"Girardville",2035
"Gladwyne",4050
"Glasgow",0
"Glassport",4993
"Glen Campbell",1051
"Glen Hope",149
"Glen Lyon",1892
"Glen Mills",13740
"Glen Richey",188
"Glen Riddle Lima",0
"Glen Rock",7128
"Glenmoore",7425
"Glenolden",13735
"Glenshaw",14921
"Glenside",32019
"Glenville",2394
"Goodville",0
"Gordon",781
"Gordonville",4322
"Gouldsboro",4794
"Gradyville",0
"Grampian",1936
"Grand Valley",750
"Grantham",187
"Grantville",3769
"Granville",149
"Granville Summit",781
"Grapeville",553
"Grassflat",613
"Gratz",0
"Gray",215
"Graysville",863
"Great Bend",1217
"Greeley",1322
"Green Lane",4108
"Greencastle",16411
"Greenock",0
"Greensboro",1757
"Greensburg",57255
"Greentown",4000
"Greenville",19128
"Grindstone",2689
"Grove City",15269
"Grover",0
"Guys Mills",3076
"Gwynedd",497
"Gwynedd Valley",714
"Hadley",2029
"Halifax",7616
"Hallstead",3468
"Hamburg",10742
"Hamilton",132
"Hamlin",0
"Hannastown",177
"Hanover",43764
"Harborcreek",2632
"Harford",200
"Harleigh",94
"Harleysville",20938
"Harmonsburg",50
"Harmony",4564
"Harrisburg",156270
"Harrison City",2920
"Harrison Valley",729
"Harrisonville",1074
"Harrisville",3311
"Hartleton",183
"Hartstown",892
"Harveys Lake",3908
"Harwick",982
"Hastings",2651
"Hatboro",20467
"Hatfield",18043
"Haverford",6652
"Havertown",36300
"Hawk Run",422
"Hawley",9803
"Hawthorn",587
"Hazel Hurst",376
"Hazleton",35680
"Hegins",2346
"Heilwood",331
"Hellertown",10298
"Hendersonville",0
"Henryville",1974
"Hereford",818
"Herman",0
"Herminie",2363
"Hermitage",13490
"Herndon",2079
"Herrick Center",62
"Hershey",15069
"Hesston",696
"Hibbs",376
"Hickory",1481
"Hidden Valley",0
"Highspire",2746
"Hiller",555
"Hilliards",1067
