Sorting	Array	Total	Data	Duration	Duration	Duration	Swap	Swap	Swap	Comparison	Comparison	Comparison
Method	Type	Runs	Size	Avg. (ns)	High (ns)	Low (ns)	Avg.	High	Low	Avg.	High	Low

SortShell	Random	1	100	245771	245771	245771	380	380	380	742	742	742
			1000	2634832	2634832	2634832	6757	6757	6757	13329	13329	13329
			10000	7241563	7241563	7241563	102793	102793	102793	198403	198403	198403
	Sorted		100	22209	22209	22209	0	0	0	413	413	413
			1000	145759	145759	145759	0	0	0	7090	7090	7090
			10000	2196997	2196997	2196997	0	0	0	100844	100844	100844
	Reverse		100	15505	15505	15505	179	179	179	552	552	552
			1000	207638	207638	207638	2820	2820	2820	9495	9495	9495
			10000	3106679	3106679	3106679	36794	36794	36794	133455	133455	133455
SortInsertion	Random		100	393835	393835	393835	2430	2430	2430	2520	2520	2520
			1000	11776706	11776706	11776706	254211	254211	254211	255201	255201	255201
			10000	497756907	497756907	497756907	25525911	25525911	25525911	25535905	25535905	25535905
	Sorted		100	4679	4679	4679	0	0	0	99	99	99
			1000	20114	20114	20114	0	0	0	999	999	999
			10000	179422	179422	179422	0	0	0	9999	9999	9999
	Reverse		100	47282	47282	47282	2450	2450	2450	2500	2500	2500
			1000	4457270	4457270	4457270	249500	249500	249500	250000	250000	250000
			10000	472911292	472911292	472911292	24995000	24995000	24995000	25000000	25000000	25000000
SortBinaryInsertion	Random		100	328603	328603	328603	2591	2591	2591	813	813	813
			1000	5391258	5391258	5391258	246890	246890	246890	13036	13036	13036
			10000	213186243	213186243	213186243	25257644	25257644	25257644	180321	180321	180321
	Sorted		100	11384	11384	11384	0	0	0	480	480	480
			1000	137238	137238	137238	0	0	0	7987	7987	7987
			10000	2124432	2124432	2124432	0	0	0	113631	113631	113631
	Reverse		100	38133	38133	38133	2500	2500	2500	905	905	905
			1000	2488165	2488165	2488165	250000	250000	250000	14575	14575	14575
			10000	211940344	211940344	211940344	25000000	25000000	25000000	204601	204601	204601
SortMerge	Random		100	302273	302273	302273	1344	1344	1344	553	553	553
			1000	1319442	1319442	1319442	19952	19952	19952	8702	8702	8702
			10000	5577035	5577035	5577035	267232	267232	267232	120414	120414	120414
	Sorted		100	27168	27168	27168	1344	1344	1344	316	316	316
			1000	322806	322806	322806	19952	19952	19952	4932	4932	4932
			10000	4031728	4031728	4031728	267232	267232	267232	64608	64608	64608
	Reverse		100	28704	28704	28704	1344	1344	1344	385	385	385
			1000	331397	331397	331397	19952	19952	19952	5487	5487	5487
			10000	4152833	4152833	4152833	267232	267232	267232	71807	71807	71807
SortQuick	Random		100	131791	131791	131791	157	157	157	708	708	708
			1000	1204343	1204343	1204343	2361	2361	2361	12343	12343	12343
			10000	4354813	4354813	4354813	30779	30779	30779	186886	186886	186886
	Sorted		100	74521	74521	74521	99	99	99	5148	5148	5148
			1000	6631011	6631011	6631011	999	999	999	501498	501498	501498
