Sorting	Array	Total	Data	Duration	Duration	Duration	Swap	Swap	Swap	Comparison	Comparison	Comparison
Method	Type	Runs	Size	Avg. (ns)	High (ns)	Low (ns)	Avg.	High	Low	Avg.	High	Low

SortBubble	Random	10	500	3622213	6369595	3088521	61899	66816	59762	124750	124750	124750
	Sorted		500	1581793	1640082	1548312	0	0	0	124750	124750	124750
	Reverse		500	2562155	2641397	2517709	62250	62250	62250	124750	124750	124750
SortSelection	Random		500	2095510	3956299	1732902	499	499	499	124750	124750	124750
	Sorted		500	1772529	1852470	1763213	499	499	499	124750	124750	124750
	Reverse		500	1783208	1885365	1748896	499	499	499	124750	124750	124750
SortInsertion	Random		500	1639105	4629010	1043638	61433	64381	59109	61925	64872	59597
	Sorted		500	11293	11384	11244	0	0	0	499	499	499
	Reverse		500	1198406	1382508	1097905	62250	62250	62250	62500	62500	62500
SortBinaryInsertion	Random		500	1125946	5806185	551327	62480	65379	60129	5785	5847	5681
	Sorted		500	60301	60553	60064	0	0	0	3498	3498	3498
	Reverse		500	554581	557473	553841	62500	62500	62500	6408	6408	6408
SortShell	Random		500	273743	830762	131791	2835	2910	2717	5631	5705	5507
	Sorted		500	55404	56292	55105	0	0	0	3048	3048	3048
	Reverse		500	85744	87511	85276	1267	1267	1267	4110	4110	4110
SortHeap	Random		500	309794	1140508	198488	4049	4068	4032	7430	7463	7409
	Sorted		500	193502	194788	192762	4354	4354	4354	7756	7756	7756
	Reverse		500	185121	186756	183543	3744	3744	3744	6951	6951	6951
SortMerge	Random		500	292174	1129473	186826	8976	8976	8976	3858	3881	3843
	Sorted		500	147574	151485	146248	8976	8976	8976	2216	2216	2216
	Reverse		500	151325	154070	150369	8976	8976	8976	2493	2493	2493
SortQuick	Random		500	205836	614533	133816	1080	1099	1056	5417	5995	5113
	Sorted		500	1606000	1745962	1581066	499	499	499	125748	125748	125748
	Reverse		500	155990	159797	152882	1162	1162	1162	8540	8540	8540
