Sorting	Array	Total	Data	Duration	Duration	Duration	Swap	Swap	Swap	Comparison	Comparison	Comparison
Method	Type	Runs	Size	Avg. (ns)	High (ns)	Low (ns)	Avg.	High	Low	Avg.	High	Low

SortShell	Random	1	100	276851	276851	276851	468	468	468	826	826	826
			1000	2210407	2210407	2210407	6613	6613	6613	13171	13171	13171
	Sorted		100	55734	55734	55734	0	0	0	413	413	413
			1000	822940	822940	822940	0	0	0	7090	7090	7090
	Reverse		100	43372	43372	43372	179	179	179	552	552	552
			1000	255619	255619	255619	2820	2820	2820	9495	9495	9495
SortInsertion	Random		100	524578	524578	524578	2533	2533	2533	2627	2627	2627
			1000	8418598	8418598	8418598	240449	240449	240449	241444	241444	241444
	Sorted		100	29473	29473	29473	0	0	0	99	99	99
			1000	20953	20953	20953	0	0	0	999	999	999
	Reverse		100	47841	47841	47841	2450	2450	2450	2500	2500	2500
			1000	4733911	4733911	4733911	249500	249500	249500	250000	250000	250000
SortBinaryInsertion	Random		100	312609	312609	312609	2448	2448	2448	796	796	796
			1000	5105746	5105746	5105746	243678	243678	243678	13000	13000	13000
	Sorted		100	30451	30451	30451	0	0	0	480	480	480
			1000	139193	139193	139193	0	0	0	7987	7987	7987
	Reverse		100	39321	39321	39321	2500	2500	2500	905	905	905
			1000	2523924	2523924	2523924	250000	250000	250000	14575	14575	14575
SortMerge	Random		100	268051	268051	268051	1344	1344	1344	531	531	531
			1000	1436286	1436286	1436286	19952	19952	19952	8714	8714	8714
	Sorted		100	44000	44000	44000	1344	1344	1344	316	316	316
			1000	423588	423588	423588	19952	19952	19952	4932	4932	4932
	Reverse		100	30242	30242	30242	1344	1344	1344	385	385	385
			1000	331467	331467	331467	19952	19952	19952	5487	5487	5487
SortQuick	Random		100	219930	219930	219930	169	169	169	694	694	694
			1000	1079397	1079397	1079397	2397	2397	2397	11582	11582	11582
	Sorted		100	93657	93657	93657	99	99	99	5148	5148	5148
			1000	6618718	6618718	6618718	999	999	999	501498	501498	501498
	Reverse		100	57130	57130	57130	179	179	179	955	955	955
			1000	364432	364432	364432	2540	2540	2540	20668	20668	20668
