Sorting	Array	Total	Data	Duration	Duration	Duration	Swap	Swap	Swap	Comparison	Comparison	Comparison
Method	Type	Runs	Size	Avg. (ns)	High (ns)	Low (ns)	Avg.	High	Low	Avg.	High	Low

SortBubble	Random	10	500	3668517	6392433	3081327	62325	65043	60000	124750	124750	124750
	Sorted		500	1675743	1902197	1548381	0	0	0	124750	124750	124750
	Reverse		500	2721868	3712763	2517778	62250	62250	62250	124750	124750	124750
SortSelection	Random		500	2128839	3890928	1736324	499	499	499	124750	124750	124750
	Sorted		500	1889269	2175137	1763632	499	499	499	124750	124750	124750
	Reverse		500	1863861	2053544	1748686	499	499	499	124750	124750	124750
SortInsertion	Random		500	1639021	4567200	1054394	61522	63567	59583	62015	64059	60080
	Sorted		500	11412	11664	10965	0	0	0	499	499	499
	Reverse		500	1171894	1450883	1097974	62250	62250	62250	62500	62500	62500
SortBinaryInsertion	Random		500	1066462	5368001	547555	63032	65566	59007	5780	5882	5716
	Sorted		500	62633	62787	62438	0	0	0	3498	3498	3498
	Reverse		500	575059	633041	566901	62500	62500	62500	6408	6408	6408
SortShell	Random		500	324224	962063	130254	2883	3031	2692	5671	5812	5480
	Sorted		500	55293	55593	55174	0	0	0	3048	3048	3048
	Reverse		500	85765	85905	85555	1267	1267	1267	4110	4110	4110
SortHeap	Random		500	293256	982457	196323	4034	4057	4022	7423	7446	7398
	Sorted		500	216479	297803	193391	4354	4354	4354	7756	7756	7756
	Reverse		500	195799	293822	183054	3744	3744	3744	6951	6951	6951
SortMerge	Random		500	312204	1103981	206171	8976	8976	8976	3858	3882	3849
	Sorted		500	169553	205264	164476	8976	8976	8976	2216	2216	2216
	Reverse		500	170133	171112	169365	8976	8976	8976	2493	2493	2493
SortQuick	Random		500	199941	613625	133117	1089	1112	1067	5188	5574	4931
	Sorted		500	1592430	1626464	1580928	499	499	499	125748	125748	125748
	Reverse		500	155313	159588	153372	1162	1162	1162	8540	8540	8540
