Sorting	Array	Total	Data	Duration	Duration	Duration	Swap	Swap	Swap	Comparison	Comparison	Comparison
Method	Type	Runs	Size	Avg. (ns)	High (ns)	Low (ns)	Avg.	High	Low	Avg.	High	Low

SortHeap	Random	10	100	196945	846407	39740	581	590	575	1026	1035	1020
			1000	913614	2976217	441187	9076	9150	9034	16849	16908	16802
			10000	7536006	13453246	6422395	124187	124362	124092	235347	235489	235225
	Sorted		100	51263	221396	31917	640	640	640	1081	1081	1081
			1000	455001	646730	426521	9708	9708	9708	17583	17583	17583
			10000	6199139	7458001	5922680	131956	131956	131956	244460	244460	244460
	Reverse		100	34061	61460	30730	524	524	524	951	951	951
			1000	440020	536451	409619	8490	8490	8490	15894	15894	15894
			10000	5866625	6155392	5721467	117198	117198	117198	225095	225095	225095
